Degree,Institution,Year,Description
B.Tech CSE (AI ML),"Dayananda Sagar University (Bengaluru)",Oct 2021 – June 2025, CGPA: 8.69/10.0
Class XII (CBSE),"Shemford School",Jun 2020 – Mar 2021, Percentage: 90.8%
